,0
1,https://www.15min.lt/naujiena/aktualu/svietimas/geri-pilietinio-ugdymo-pagrindai-lietuvos-mokyklose-misija-imanoma-233-858214
2,https://www.15min.lt/naujiena/aktualu/svietimas/ideja-lietuvai-ka-pasiimti-is-suomijos-kad-lietuvos-svietimo-sistema-taptu-geriausia-233-856728
3,https://www.15min.lt/naujiena/aktualu/svietimas/lietuvoje-startuoja-nemokamos-edukacines-muzieju-programos-moksleiviams-233-857664
4,https://www.15min.lt/naujiena/aktualu/pasaulis/rumunijos-prezidentas-atsauke-vizita-ukrainoje-del-jos-priimtu-svietimo-istatymo-pataisu-57-857252
5,https://www.15min.lt/naujiena/aktualu/lietuva/svietimas-raktas-i-stereotipu-lauzyma-56-856516
6,https://www.15min.lt/verslas/naujiena/bendroves/technologijos-klaseje-kaip-atrodo-moderniausios-silicio-slenio-mokyklos-663-856394
7,https://www.15min.lt/naujiena/aktualu/svietimas/europos-humanitariniam-universitetui-vadovauti-siekia-19-kandidatu-233-856002
8,https://www.15min.lt/naujiena/aktualu/nuomones/remigijus-simasius-reali-ideja-lietuvai-mikrokompiuteriai-kiekvienam-penktokui-laukite-geniju-18-855926
9,https://www.15min.lt/verslas/naujiena/mokslas-it/nemokami-mikrokompiuteriai-masiskai-keliauja-pas-lietuvos-vaikus-1290-854906
10,https://www.15min.lt/naujiena/aktualu/nuomones/mindaugas-kiskis-kitokia-aukstojo-mokslo-reforma-18-854688
11,https://www.15min.lt/naujiena/aktualu/svietimas/pradedama-programa-nemokami-muziejai-moksleiviams-233-853996
12,https://www.15min.lt/naujiena/aktualu/svietimas/valstybe-rems-daugiau-nei-100-uzsienio-universitetu-destytoju-vizitu-i-lietuva-233-853404
13,https://www.15min.lt/naujiena/aktualu/svietimas/seimas-emesi-profesinio-mokymo-pertvarkos-233-853292
14,https://www.15min.lt/naujiena/aktualu/lietuva/vasaros-atostogos-baigesi-o-darzeliai-be-tvoru-56-852866
15,https://www.15min.lt/naujiena/aktualu/komentarai/regina-statkuviene-vaiku-tragedijos-svietimo-reformos-fone-500-852326
16,https://www.15min.lt/naujiena/aktualu/svietimas/seimo-komiteto-nariai-siulo-privacioms-ugdymo-istaigoms-skirti-lesu-kaip-ir-valstybinems-233-852984
17,https://www.15min.lt/naujiena/aktualu/svietimas/pratybos-ne-tik-nebutinos-bet-ir-riboja-mokiniu-kurybiskuma-233-852780
18,https://www.15min.lt/naujiena/aktualu/svietimas/kvietimu-studijuoti-profesinese-mokyklose-per-papildoma-priemima-sulauke-daugiau-kaip-8-tukst-stojanciuju-233-852674
19,https://www.15min.lt/naujiena/aktualu/svietimas/kitas-pirmadienis-galutinis-terminas-abiturientams-rasysiantiems-brandos-darba-233-852666
20,https://www.15min.lt/gyvenimas/naujiena/pokalbiai/kaimo-mokyklos-pedagoge-vida-cia-vaikai-geri-ir-nuosirdus-1040-851924
21,https://www.15min.lt/verslas/naujiena/bendroves/silicio-slenio-ekonomistas-eilifas-trondsenas-technologiju-kaita-yra-cunamis-kuriam-butina-pasiruosti-663-852272
22,https://www.15min.lt/naujiena/aktualu/svietimas/smm-savivaldybems-iki-spalio-bus-papildomai-pervesta-1-1-mln-euru-neformaliam-ugdymui-233-852194
23,https://www.15min.lt/naujiena/aktualu/nuomones/dalius-misiunas-ko-reikia-kad-gabiausi-sugriztu-18-850834
24,https://www.15min.lt/naujiena/aktualu/nuomones/vaidotas-norkus-aukstajame-moksle-reikia-skaiciuoti-visus-visciukus-18-850802
25,https://www.15min.lt/gyvenimas/naujiena/sveikata/mokyklos-suole-tyko-klastinga-liga-kaip-jos-isvengti-1028-850122
26,https://www.15min.lt/naujiena/aktualu/lietuva/g-nauseda-pasiule-ideja-lietuvai-tegul-mma-nustato-savivaldybes-56-850280
27,https://www.15min.lt/naujiena/aktualu/svietimas/i-pagalba-mokytojams-kalbeti-apie-lytini-svietima-pades-dokumentinis-filmas-233-850072
28,https://www.15min.lt/naujiena/aktualu/lietuva/ideja-lietuvai-prasideda-politikus-ziniasklaida-versla-ir-visuomene-vienysianti-iniciatyva-56-849922
29,https://www.15min.lt/naujiena/aktualu/nuomones/laura-galdikiene-jaunystes-kaina-kokie-issukiai-laukia-siu-dienu-jaunimo-18-849552
30,https://www.15min.lt/naujiena/aktualu/svietimas/istoti-i-universiteta-po-dveju-metu-bus-galima-tik-turint-bent-7-balu-vidurki-is-penkiu-metiniu-ivertinimu-233-849262
31,https://www.15min.lt/naujiena/aktualu/svietimas/publikavimo-kultura-humanitariniuose-moksluose-kaip-ar-matuoti-tekstus-ir-ju-sklaida-233-847426
32,https://www.15min.lt/naujiena/aktualu/svietimas/prof-habil-dr-algirdas-gaizutis-amzina-mokytojo-uzduotis-kaip-suzmoginti-zmogu-prof-habil-dr-algirdas-gaizutis-kodel-laimetume-mokytojus-ir-destytojus-anksciau-islydeje-i-pensija-233-847734
33,https://www.15min.lt/naujiena/aktualu/nuomones/tomas-bilevicius-lietuviska-mokslo-metu-pradzia-norfos-maiselyje-18-847710
34,https://www.15min.lt/naujiena/aktualu/svietimas/kaip-pasirinkti-anglu-kalbos-mokykla-ar-kursus-233-847692
35,https://www.15min.lt/naujiena/aktualu/komentarai/dainius-genys-suomijos-kartele-500-846178
36,https://www.15min.lt/naujiena/aktualu/svietimas/salies-pirmokams-pasas-skirtas-lietuvos-valstybes-simtmeciui-233-847404
37,https://www.15min.lt/naujiena/aktualu/svietimas/tyrimas-beveik-puse-lietuvos-tevu-uz-vaiku-lavinima-planuoja-moketi-pinigus-233-842928
38,https://www.15min.lt/naujiena/aktualu/svietimas/nauji-mokslo-metai-4-tukst-maziau-mokiniu-8-tukst-maziau-studentu-233-847282
39,https://www.15min.lt/naujiena/aktualu/svietimas/mokslo-ir-ziniu-diena-vietoj-darbo-tevai-lydes-vaikus-i-mokykla-233-847208
40,https://www.15min.lt/naujiena/aktualu/nuomones/mantas-katinas-totalinis-svietimas-kaip-raktas-i-dramatiska-salies-proverzi-18-846628
41,https://www.15min.lt/naujiena/aktualu/svietimas/ism-universitetas-vadovus-sius-tobulintis-i-keiptauna-233-846486
42,https://www.15min.lt/naujiena/aktualu/svietimas/svietimo-ir-mokslo-ministre-mokyklinis-amzius-gali-buti-ankstinamas-nuo-2019-metu-233-845974
43,https://www.15min.lt/naujiena/aktualu/svietimas/pagal-islaidas-svietimui-lietuva-uzima-12-vieta-visoje-es-233-845544
44,https://www.15min.lt/naujiena/aktualu/svietimas/mokslo-metai-ilgeja-10-dienu-bus-mokoma-krasto-gynybos-abiturientai-gales-rasyti-brandos-darba-233-844482
45,https://www.15min.lt/naujiena/aktualu/svietimas/penki-universitetai-prarado-daugiau-nei-po-puse-pirmakursiu-233-844466
46,https://www.15min.lt/verslas/naujiena/mokslas-it/unikali-lietuviu-sukurta-mokymosi-sistema-pripazinta-isradimu-1290-844086
47,https://www.15min.lt/verslas/naujiena/mokslas-it/visi-mokytojai-ir-mokiniai-siemet-gaus-nemokamus-windows-ir-office-1290-843090
48,https://www.15min.lt/naujiena/aktualu/svietimas/i-policijos-mokykla-priimtas-131-kursantas-233-842584
