,0
0,=======================================================================
1,1
2,=======================================================================
3,"„Žinia, kad mokysimės nuotoliniu būdu daugeliui mokyklų vadovų, mokytojų, tėvų ir vaikų buvo nemažas iššūkis. Iššūkis, kuris pradžioje kėlė daugybę klausimų – ar sugebėsime, ar turėsime reikiamą įrangą, ar ji veiks tinkamai, ar nekils ryšio problemų, kokius metodus rinksimės ir panašiai“, – svarstė 15min kalbinta mokytoja ir pridūrė, kad švietimo sistemai teko prisitaikyti prie pasikeitusios situacijos – kito pasirinkimo tiesiog nebuvo."
4,"Tik susitelkę, nors ir per atstumą, galime įveikti šį iššūkį"
5,"Pasak Aukštelkės mokyklos-daugiafunkcio centro anglų kalbos mokytojos V.Šarauskienės, šiuo metu itin svarbus bendradarbiavimas bei palaikymas, nes tik susitelkę, nors ir per atstumą, galime įveikti šį iššūkį. Anot jos, suvieniję jėgas – ilgametę patirtį ir technologines žinias – nustebsime, kiek daug galime pasiekti ir vieni iš kitų išmokti."
6,"15min paprašyta pasidalinti savo patirtimi ji pasakojo, kad Aukštelkės mokykloje-daugiafunkciame centre pamokos prasideda įprastu laiku ir vyksta pagal specialiai sudarytą tvarkaraštį. Be abejo, numatytos ir pertraukos. „Mokytojas parengia pamokas ar jų ciklo planą su užduotimis, aktyviomis nuorodomis į vaizdo medžiagą, pristatymus ir panašiai , – kalbėjo ji. – Esame sutarę, kad svarbiausia yra užsitikrinti grįžtamąjį ryšį, todėl kiekvienos pamokos pabaigoje pateikiame nuorodą į klausimyną, kurį mokinys, atlikęs užduotis, užpildo.“"
7,"Anot jos, toks metodas padeda sužinoti kiekvieno vaiko nuomonę, suprasti, kokie sunkumai kyla ir išsiaiškinti, ar pasiektas pamokos tikslas. Beje, planas mokiniams išsiunčiamas prieš prasidedant pamokai, o atsakymus į minėtus klausimus galima pateikti kasdien bet kuriuo metu iki 17 valandos."
8,"„Smagu, kad jau įpratome dirbti tokiu ritmu, – sakė anglų kalbos mokytoja, o paprašyta plačiau papasakoti pridūrė: savaitę pradėjome nuo mažų žingsnelių, pradžioje nekėlėme pernelyg aukštų mokymosi tikslų. Viską darėme pamažu, nuosekliai, siekdami neišgąsdinti nei mokinių, nei tėvų. Nesistengėme organizuoti pilnai virtualaus mokymosi su virtualiomis sinchroninėmis pamokomis. Mūsų pasirinktas nuotolinio mokymosi formatas leidžia mokiniams dirbti jiems patogiu metu, jeigu dėl kokių nors aplinkybių nepavyksta prisijungti tvarkaraštyje numatytu laiku.“"
9,"Pirmosiomis dienomis svarbiau ne akademiniai rezultatai, o apsiprasti su pasikeitusia tvarka."
10,"Kaip paaiškino pašnekovė, pirmosiomis dienomis svarbiau ne akademiniai rezultatai, o apsiprasti su pasikeitusia tvarka – išmokti laiku pradėti pamokas, susipažinti su naujomis mokymosi sąlygomis, susitarti dėl darbo metodų, suderinti veiklas. Nors darbo padaugėjo, pašnekovė nepraranda optimizmo: „Jaučiame vienas kito palaikymą, bendrystę. Tapome viena didele virtualia šeima.“"
11,"Be to, anot jos, labai padeda mokyklos vadovybės palaikymas tiek emociniame, tiek technologiniame ar metodiniame lygmenyje. Stiprybės suteikia ir iš vaikų bei tėvų gaunamas atgalinis ryšys. Atsiliepimai, kaip paaiškino V.Šarauskienė, leidžia įvertinti, ar pasirinkta teisinga kryptis."
12,"„Pripažįstame, jog nesame tobuli, dar patiems reikia daug ko išmokti, tačiau turime vieną tikslą – užtikrinti kokybišką mokymosi procesą, kad ir kokios nelengvos būtų sąlygos“, – pabrėžė 15min pašnekovė."
14,"O kaip turėtų atrodyti pamokos, kad nuotolinis mokymasis duotų teigiamų rezultatų? Aukštelkės mokyklos-daugiafunkcio centro anglų kalbos mokytojos teigimu, tai priklauso nuo daugelio faktorių. Tikėtina, pasak jos, kad tie mokymo metodai, kurie pasiteisino tradicinėse pamokose – nuotolinio darbo metu visai netiks."
15,"„Taigi, – sako mokytoja, – teks ieškoti kitų būdų sudominti ir įtraukti. Abi pusės turėtų prisiimti asmeninę atsakomybę. Labai svarbus susikalbėjimas, sąžinė ir susitarimų laikymasis, pastangos, vidinė motyvacija bei abipusio grįžtamojo ryšio užtikrinimas.“"
16,"15min paklausta apie mokymo metodus pašnekovė patarė pirmiausiai neskubėti: „Leiskite susiformuoti įpročiui dirbti kiek kitaip, neišsigąskite naujovių, joms įvaldyti gali prireikti laiko. Įprastos, paprastos, nesudėtingos užduotys leis vaikui ir tėvams pasijausti saugiau. Vėliau, pamažu įvesta viena kita naujovė užtikrins didesnį susidomėjimą, įsitraukimą, padės išvengti rutinos.“"
